ip,latitude,longitude,label
166.154.198.34,37.36883,-122.03635,solar
166.154.20.36,37.36883,-122.03635,solar
166.154.21.226,37.36883,-122.03635,solar
166.154.229.67,37.36883,-122.03635,solar
166.154.23.246,37.36883,-122.03635,solar
166.154.238.121,37.36883,-122.03635,solar
166.154.238.123,37.36883,-122.03635,solar
166.154.24.234,37.36883,-122.03635,solar
166.154.241.212,37.36883,-122.03635,solar
166.154.242.12,37.36883,-122.03635,solar
166.154.253.101,37.36883,-122.03635,solar
166.154.253.119,37.36883,-122.03635,solar
166.154.253.138,37.36883,-122.03635,solar
166.154.30.215,37.36883,-122.03635,solar
166.154.32.215,37.36883,-122.03635,solar
166.154.33.162,37.36883,-122.03635,solar
166.154.35.15,37.36883,-122.03635,solar
166.154.35.160,37.36883,-122.03635,solar
166.154.35.171,37.36883,-122.03635,solar
166.154.35.233,37.36883,-122.03635,solar
166.154.35.31,37.36883,-122.03635,solar
166.154.35.93,37.36883,-122.03635,solar
166.154.39.163,37.36883,-122.03635,solar
166.154.39.189,37.36883,-122.03635,solar
166.154.39.21,37.36883,-122.03635,solar
166.154.4.142,37.36883,-122.03635,solar
166.154.4.144,37.36883,-122.03635,solar
166.154.4.147,37.36883,-122.03635,solar
166.154.4.150,37.36883,-122.03635,solar
166.154.4.182,37.36883,-122.03635,solar
166.154.4.183,37.36883,-122.03635,solar
166.154.41.236,37.36883,-122.03635,solar
166.154.41.246,37.36883,-122.03635,solar
166.154.42.242,37.36883,-122.03635,solar
166.154.53.13,37.36883,-122.03635,solar
166.154.53.189,37.36883,-122.03635,solar
166.154.54.151,37.36883,-122.03635,solar
166.154.54.177,37.36883,-122.03635,solar
166.154.54.47,37.36883,-122.03635,solar
166.154.56.180,37.36883,-122.03635,solar
166.154.57.254,37.36883,-122.03635,solar
166.154.58.115,37.36883,-122.03635,solar
166.154.58.116,37.36883,-122.03635,solar
166.154.6.143,37.36883,-122.03635,solar
166.154.6.144,37.36883,-122.03635,solar
166.154.6.147,37.36883,-122.03635,solar
